account_length,number_vmail_messages,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,number_customer_service_calls,churn
48,27,23.99,19.1,7.84,3.56,1,0
86,0,40.13462938,18.87568285,13.44071518,2.565591642,2,1
112,22,30.91,19.39,11.82,2.48,2,0
97,0,40.33784154,26.04923785,10.97164847,2.38,0,1
168,0,27.44162583,17.11790128,5.991256,2.657686051,1,1
130,0,49.15,12.76,7.35,3.65,1,0
115,0,42.48,20.61,6.83,4.13,1,1
114,0,19.65,13.87,11.31,2.62,2,1
82,0,29.31,11.19,8.23,2.38,1,0
136,22,27.25,23.22,9.14,3.16,0,1
74,0,27.1,17.85,7.76,2.3,1,0
62,0,29.22360689,13.69686972,6.967604975,2.926317264,1,1
25,0,33.86,10.47,3.7,2.59,2,0
52,0,43.84,18.76,10.14,4.54,2,1
119,0,29.90727322,28.25201095,12.91799559,2.967168315,0,1
124,0,43.1,10.02,11.18,3.78,0,0
164,30,40.6,19.55,9.28,3.56,1,0
62,0,42.18856425,18.54932418,12.15703761,3.365538042,1,1
99,0,26.4,22.58,6.56,3.35,0,0
122,0,24.19205101,16.76504607,5.683363603,2.630351182,3,1
193,0,35.38,15.13,8.82,3.35,3,0
121,0,50.41716417,17.79820905,6.546119301,3.136417899,3,1
110,0,25.23,16.47,9.27,1.86,0,0
152,0,25.07765567,17.22308555,8.767175162,3.351021345,1,1
124,0,20.96698946,13.29404733,9.457536572,2.869303786,2,1
84,0,49.15,19.87,10.06,3.43,2,1
26,0,48.24774217,21.12113448,7.035938362,2.020753377,2,1
118,0,13.01026459,22.38122903,9.230741432,2.384548019,1,1
100,0,22,21.36,7.07,2.81,1,0
108,0,35.82,20.29,11.41,2.48,3,0
87,0,28.59,19.1,7.63,3.48,1,0
135,0,43.2613042,22.27760878,7.493478125,3.119130511,2,1
180,0,43.18090058,12.56718953,8.03186048,3.299440865,2,1
123,0,19.45,18.41,11.28,2.97,0,0
57,25,24.48,15.91,7.14,2.3,3,0
154,0,26.06166439,18.1377203,8.028424238,3.332121189,2,1
106,0,46.57192914,25.7627735,9.01935542,2.44736723,0,1
136,0,44.1,14.68,13.22,2.89,1,1
149,0,28.32,18.6,9.37,2.21,7,0
193,0,29.05,11.25,5.08,3.13,1,0
67,0,33.6446165,15.99944072,11.42176685,5.176235732,2,1
80,0,45.51168336,17.30619745,11.67240146,2.22025887,1,1
123,0,22.63069392,12.37933675,11.47629186,3.25313799,3,1
172,38,30.80855528,11.69963139,8.136125148,2.262803207,4,1
15,0,39.09963528,17.56130943,7.585067355,2.925529861,0,1
65,0,30.65,16.99,12.6,3.27,3,0
85,25,21.98792909,20.2233203,9.635976899,3.510850822,2,1
216,0,36.09,16.24,10.12,2.54,3,0
78,0,45.86157657,15.61625877,11.88271259,1.741263881,1,1
138,0,25.45,13.6,11.54,2.57,1,0
5,0,33.78,12.47,9.76,2.57,2,0
121,44,19.72,12.76,11.11,3.24,1,0
98,21,10.98,14.97,11.02,0,2,0
89,0,15.88421995,14.25134448,8.398789572,2.301837317,4,1
105,0,47.19701549,25.13455563,10.59180616,1.967379595,0,1
120,0,43.2938005,21.5885708,9.484196202,2.423872442,3,1
67,0,34.24,8.3,9.11,1.89,0,0
103,31,31.52,16.8,6.62,3.92,2,0
127,0,55.55956076,15.98473551,8.254791757,3.027885358,0,1
29,0,33.25,10.74,6.69,3.83,1,0
89,0,39.9555299,22.35502652,10.78630578,1.571012482,3,1
34,0,50.13248842,22.75970498,7.85613654,2.80613654,1,1
64,0,8.6,26.26,11.49,3.7,2,0
55,0,30.62,20.02,7.62,3,0,0
95,0,29.58,23.89,8.87,2.62,0,0
37,33,38.37,19.03,8.67,3.02,3,0
83,0,33.15,17.89,8.13,2.97,0,0
83,0,30.4,14.27,8.05,2.32,3,0
78,0,15.15,19.26,11.21,1.86,0,0
212,0,21.42,12.27,13.63,2.05,1,0
99,0,47.37910819,14.94219546,10.05506022,2.252247011,0,1
43,0,30.48,21.48,10.24,2.16,0,0
184,0,40.19,24.42,8.64,3.73,1,1
155,0,34.58,16.23,8.82,2.4,0,1
98,0,28.05,17.22,7.75,3.38,1,1
56,0,13.48,13.52,11.06,2.73,1,0
93,31,40.32,18.11,8.67,2.89,1,0
69,0,37.72612393,23.98118342,12.8389105,2.302016247,2,1
65,0,27,16.02,8.52,2.65,2,0
36,16,25.4,11.2,5.97,1.81,0,0
87,0,28.44,16.87,5.99,2.97,1,0
65,0,32.18,17.45,10.27,2.3,3,0
215,0,43.49992485,19.61039399,10.23095651,2.814502396,1,1
148,0,35.43,14.82,13.98,3.02,1,0
129,0,9.3,21.77,7.95,3,1,0
1,0,30.49082916,11.40996392,7.779447438,2.951262106,3,1
53,0,20.99945421,12.11395315,10.12012364,1.613620465,2,1
81,0,53.4535511,22.03052104,6.363783567,2.008661323,0,1
145,0,40.85984472,24.97662301,10.17282507,2.915298408,1,1
101,0,45.85,17.65,9.64,1.22,3,1
170,37,30.28,20.64,10.93,3.51,0,0
67,36,19.65,20.2,7.65,2.67,2,0
123,0,19.52,12.75,12.09,2.59,2,0
191,0,27.54,20.5,9.47,2.94,1,0
103,0,16.73119101,21.22337158,7.128453871,2.492167593,5,1
80,0,34.84673942,21.2612147,11.43581514,3.410373042,1,1
86,0,25.0596434,14.60426943,8.34813275,2.344774636,4,1
35,40,32.87595354,20.65445654,6.772664856,5.256167664,0,1
3,0,31.09,14.63,10.49,3.27,4,0
87,0,43.55,13.66,11.22,2,4,0
98,35,26.63260875,14.6275417,7.012458302,2.473669609,5,1
171,0,46.1253992,19.62805366,6.16181446,2.608318716,1,1
200,0,21.79,11.32,7.99,3.02,1,0
167,0,19.09,17.41,6.35,3.59,1,0
161,39,37.15,9.58,9.23,1.97,1,0
134,41,27.54,27.6,7.2,3.21,0,0
114,19,26.28,20.54,7.2,3.4,3,0
113,0,41.78292385,22.04328973,9.24983113,2.865857614,2,1
137,0,19.55,11.71,10.08,1.97,3,0
132,25,19.24,22.94,10.31,1.92,2,0
77,33,28.68395335,18.49393711,4.666143055,3.72607291,3,1
91,0,27.03,21.68,3.71,2.73,0,0
71,32,16.56393631,26.71229777,7.4168795,1.732808574,3,1
114,0,28.83,5.01,8.07,2,1,0
137,0,38.01,20.81,4.24,2.57,0,0
127,0,23.73,20.48,5.72,2.38,2,0
63,32,35.66710347,19.71158882,8.89920004,3.790740778,0,1
110,0,38.71,14.45,5.79,3.16,1,0
12,0,35.04,20.96,11.46,3.27,2,0
67,0,38.44140181,20.28442641,3.635093655,3.975299959,2,1
94,0,30.94956928,18.38342634,12.4015506,2.972524871,1,1
148,38,35.56,9.91,4.93,4.46,2,0
96,21,42.09,21.79,7.14,2.92,2,0
119,0,30.06,19.1,9.21,2.03,1,0
150,0,49.53710984,16.62057976,11.11259594,2.546564743,2,1
79,0,36.28,14.98,8.1,2.13,0,0
132,0,45.19,24.23,8.26,3.67,2,1
60,0,39.22,14.06,13.91,3.59,1,0
83,0,44.15,12.98,10.11,2.75,0,0
100,0,43.21,22.27,11.53,3.67,0,1
95,0,52.58136893,12.17805237,8.677894584,2.831007234,0,1
54,0,48.71020671,19.01309049,9.248999233,3.168106874,0,1
155,30,21.85,16.01,11.45,1.84,1,0
8,36,41.29,14.53,7.98,1.3,1,0
100,21,14.64,16.14,9.06,3.16,0,0
49,0,44.7170309,17.45236338,9.101046733,3.602962464,1,1
138,0,36.23379316,14.76493098,10.07801284,3.638257282,0,1
176,0,42.65,14.57,6.69,2.59,2,0
69,0,38.52776436,19.50099475,3.332824747,4.653862812,2,1
148,25,31.67698447,14.33699225,7.799521423,2.920393005,1,1
139,0,45.1392865,18.62600392,9.887593012,2.62117033,0,1
161,0,37.69,16.41,8.73,1.76,3,0
50,0,22.29,13.64,9.31,1.51,5,1
232,0,28.15,16.65,5.32,3.19,1,0
158,0,37.55,20.59,10.5,1.73,0,0
118,0,37.98,18.75,9.18,1.7,0,0
135,0,44.05701178,21.81801906,8.248028408,2.693838534,3,1
43,0,4.59,13.68,12.58,2.89,3,0
102,0,26.76,4.02,7.22,3.08,0,0
111,0,24.85,22.23,7.34,2.35,3,0
72,0,24.99,13.8,7.33,2.84,1,0
68,32,45.55144941,21.44430323,7.521544431,2.300979324,0,1
138,0,29.14,9.79,10.1,4.59,3,0
94,0,14.6,19.27,12.58,4.21,0,0
84,41,26.16,11.96,9.8,3.46,1,0
96,0,29.56,24.43,9.22,2.46,1,0
126,0,30.86116399,13.99733896,9.840436066,2.307962505,0,1
141,33,28.63,15.73,9.9,2.97,2,0
28,0,31.93,21.13,9.4,2.86,0,0
45,0,32.23,14.59,9.99,3.75,1,1
87,0,50.90649756,10.19133375,10.7449144,2.951836821,1,1
57,0,19.83569519,10.83274419,12.04253737,2.024097991,0,1
113,0,22.46,21.04,11.08,1.86,3,0
106,0,27.34,14.48,11.21,1.94,1,0
97,31,14.64107275,21.57928484,9.136707764,2.493859432,2,1
106,0,45.40587617,21.61844811,9.91687884,3.261136303,1,1
97,0,19.16,18.5,6.84,1.76,1,0
66,33,15.1,9.32,7.77,1.92,3,0
197,0,46.88409606,23.18460874,10.1877535,3.470017679,1,1
95,39,44.34,18.14,8.8,2.73,1,0
98,0,40.44036482,28.27168304,8.156383516,2.877994668,0,1
163,0,42.11,22.91,7.53,2.59,0,1
110,0,31.96,7.69,6.76,4.13,3,0
133,0,43.11350028,21.74518136,7.716929007,2.486980033,0,1
100,38,30.11,13.91,10.92,2,0,0
88,0,52.80081822,20.45617689,12.00308166,1.829466317,1,1
125,0,24.34,7.49,10.49,2.38,4,1
158,0,16.69,16.86,11.07,3.51,2,0
46,0,42.55,22.15,8.78,3.59,2,1
96,23,31.13,12.53,15.76,3.05,1,0
34,0,50.13859366,23.1521875,8.086406223,2.973906248,2,1
67,0,19.64,21.44,9.4,2.03,0,0
141,0,36.91,20.53,11.41,3.24,0,0
79,0,28.03680949,17.07455586,10.81311717,2.821462589,4,1
127,0,55.13,12.04,9.34,3.46,1,1
144,0,38.0503439,14.62913354,8.377723321,1.629370809,0,1
160,33,23.29,17.3,9.84,1.57,2,0
112,0,45.22,18.24,13.78,3.83,2,1
198,0,47.47236922,22.62574924,10.05082785,3.43046138,1,1
74,0,52.40317798,16.99756843,10.9628761,2.655451984,1,1
86,0,40.64970063,12.93135204,10.04135204,2.671642716,0,1
75,0,19.94,17.09,4.86,3.29,1,0
112,0,35.05,13.98,6.31,3.4,3,0
137,0,24.56019837,14.30369084,7.683967402,1.712956623,4,1
53,0,44.48647481,21.31197656,7.962791656,2.646434029,0,1
91,0,10.82595214,15.18346045,10.0617372,2.748697098,1,1
144,51,48.26,16.32,8.83,2.7,1,0
107,0,47.25825591,24.8174814,9.795040094,2.579609854,0,1
70,0,33.76,18.18,7.7,2.86,2,0
127,27,26.79,23.85,3.38,2.16,1,0
142,0,22.39,20.37,10.58,2.4,1,0
60,0,23.02,17.5,9.18,2.13,1,0
118,0,34.88,15.71,7.92,1.89,0,0
149,0,33.37,11.63,6.96,2.08,2,0
81,0,22.08,19.56,6.32,3.59,0,0
108,33,31.08391968,12.29152656,10.31278573,2.533162586,4,1
166,0,34.71,15.29,9.76,2.57,1,0
141,23,25.45,13.81,9.91,2.05,3,0
118,31,38.52,14.02,8.52,2.75,3,0
139,0,29.34,23.94,11.4,2.84,3,0
79,0,27.11035337,15.45193032,10.0264795,2.54,5,1
63,49,36.53,16.85,7.69,2.21,0,0
111,0,51.89461024,17.57233226,10.83947115,3.794406775,0,1
64,25,26.49597815,18.08991438,9.898739187,2.805779819,3,1
117,0,50.81717368,15.23251816,8.819541839,2.847890575,1,1
79,0,45.61,15.77,11.91,1.7,1,1
117,0,17.39,11.49,8.99,4.24,3,0
129,0,42.84046061,18.86675939,9.516342141,3.301368322,0,1
84,0,39.76,13.02,10.26,3.46,3,0
148,21,44.69,12.71,6.32,2.19,1,0
154,0,27.97613794,19.40476144,8.26103937,3.137724701,2,1
103,37,26.1,20.56,11.01,2.86,1,0
181,0,45.32862349,18.20882438,8.283464783,2.635243635,2,1
115,0,18.65,19.02,10.81,4.16,3,0
36,0,41.65,16.62,7.46,2.11,1,0
121,26,28.97,21.63,9.88,4.08,0,0
111,0,19.30999538,16.96633317,8.838615341,3.111682802,4,1
74,0,34.07,26.28,6.84,2.7,1,0
75,0,50.67227536,15.00684873,8.487743729,3.173340884,0,1
104,0,44.88,11.24,8,2.86,3,0
106,31,33.35640633,16.86967718,9.87425826,3.154509451,2,1
160,0,40.31,20.26,8.16,2.89,2,0
83,25,19.42969345,21.79635716,9.580588139,3.489151665,4,1
69,0,38.79,22.41,6.42,2.89,3,0
161,0,33.01,21.2,11.47,3.48,1,1
95,0,22.48773729,16.78533359,8.286670772,2.688112994,4,1
122,0,39.41833023,21.15815767,8.58593752,2.925111938,0,1
48,0,30.07,23.32,5.19,2.97,1,0
87,19,28.19,15.89,11.24,0,1,0
105,0,20.28,15.73,7.07,2.94,2,0
39,0,35.0215154,10.4848303,10.56472376,3.794783669,0,1
154,0,27.54,16.96,10.93,0.3,1,0
80,33,32.2,12.64,9.4,3.02,1,1
150,24,36.11,14.34,8.97,2.62,2,0
86,0,23.31655152,15.75522819,7.211977316,2.851788625,6,1
103,0,21.98,17.24,10.49,3.48,2,0
58,29,40.73,15.48,5.32,2.97,2,0
95,0,43.46053548,23.43300353,10.12004077,2.917613485,0,1
135,38,34.44,14.42,8.36,3.21,4,0
97,36,27.51123652,14.50321568,7.423710173,2.282685539,5,1
37,0,29.5862631,16.55767074,8.562651821,2.580490153,2,1
89,0,15.25,15.28,6.56,2.57,2,0
132,39,29.87,15.91,10.15,2.32,2,0
80,0,40.78,12.1,16.39,2.51,1,0
150,29,40.09,17.24,11.08,3.21,1,0
67,0,41.67,15.74,8.71,2.19,3,0
4,0,23.48616973,13.32566449,9.908480708,2.69786693,1,1
47,0,44.52538505,19.89384484,9.215206326,3.701100403,2,1
101,9,27.22,17.85,6.26,2.92,0,0
73,0,48.69,15.15,9.64,2.89,1,1
120,0,27.81,20.17,8.38,3.32,0,0
36,0,40.83847186,21.77460205,9.323803048,2.421867524,2,1
84,0,14.62,22.16,4.44,2.4,1,0
15,0,52.39969922,16.38518359,9.171555915,3.093520143,0,1
202,0,42.43618378,22.95960276,10.57164493,2.989333496,1,1
93,0,53.04,11,9.79,2.84,0,1
143,0,20.25,24.45,10.04,3.29,0,0
98,29,18.89,18.52,11.16,1.78,2,0
34,0,47.13014783,22.87848481,8.417793205,2.79558298,2,1
74,0,26.71,18.11,12.62,2.05,2,0
58,0,42.02,25.81,4.74,2.51,2,1
70,0,55.34,25.53,8.99,1.54,1,1
157,0,38.17,17.06,5.25,3.11,2,0
60,41,19.20288366,13.45596288,7.595847059,2.723983007,2,1
69,0,33.49311213,16.25427383,11.36773178,3.144384478,5,1
140,0,27.29,15.8,6.77,2.89,1,0
124,0,40.72177032,22.99782764,8.883394065,2.73,0,1
119,0,20.64,19.63,7.36,3.73,2,0
108,0,31.86,16.99,9.72,3.4,1,0
124,0,25.69,15.93,11.49,1.43,1,0
140,24,40.02,13.68,9.54,2.4,3,0
102,47,22.67285449,18.99140562,9.225787768,2.363253013,5,1
81,33,34.05,18.44,11.24,4.19,1,0
33,33,37.64,23.47,10.03,2.73,1,0
63,0,19.13,17.95,10.24,3,0,0
97,0,29.23882267,16.74685653,7.133720688,3.057944359,2,1
87,33,21.25,20,9.69,2.75,2,0
54,39,24.46,17.88,5.81,3.38,2,0
7,0,28.93,11.66,8.46,3,2,0
13,25,30.02,14.68,4.7,3.05,2,0
90,0,16.8861124,16.13561536,7.408682475,2.372300213,4,1
72,0,28.2,20.05,9.45,3.24,2,0
77,0,33.42,10,5.62,3.08,2,0
64,0,24.05715753,12.16691732,10.25393908,3.363186249,4,1
89,19,18.89127985,22.32096359,5.739415319,2.955955806,0,1
88,0,24.09,19.23,4.5,3.21,0,0
78,25,21.59452282,20.59542042,8.978531661,2.994637764,4,1
174,33,28.53,17.45,5.85,3.92,4,1
115,0,43.1679225,21.25203598,9.327306696,2.478033212,2,1
173,21,39.51,18.01,12.29,1.35,3,0
136,0,46.39673039,19.335077,10.80948132,2.351711807,1,1
40,31,38.2,11.43,5.41,2.03,1,1
113,0,40.62346057,24.18481771,10.93459179,2.400852294,1,1
177,0,14.43,21.89,9.47,2.03,2,0
110,0,43.47297524,20.47532076,10.53251404,2.997008808,0,1
159,0,39.99102848,22.40385897,11.58634317,2.367504307,3,1
68,30,20.89,19.85,8.98,2.59,2,0
90,19,36.38,20.85,9.25,2.78,1,0
43,24,35.19,15.44,6.69,1.54,1,0
71,49,29.58,14.33,5.94,2.11,1,0
61,29,21.79,14.59,11.29,3.16,3,0
126,26,21.98,15,6.95,2.59,1,0
51,0,42.59422384,16.77626189,8.571213847,3.048252137,0,1
108,0,18.46,27.64,7.81,2.51,0,0
138,0,48.6845414,20.68362224,8.646990542,2.722987291,0,1
137,19,29.8,20.51,9.51,2.11,0,0
127,25,29.41,20.89,13.5,1.3,0,0
109,0,32.91,12.64,12.71,3.54,2,0
125,0,28.50010276,13.36449469,11.32022268,2.349472421,1,1
112,0,58.19606812,17.85598798,12.13401202,3.33649449,1,1
88,0,32.27,16.77,10.55,4.02,2,0
167,0,35.29,11.25,11.48,3.81,0,0
109,0,28.51124251,10.91377745,7.907487523,2.378735029,4,1
87,0,23.95333298,14.65969528,7.534304927,2.418317397,4,1
99,0,42.6313141,22.44454291,11.41168568,3.518885666,0,1
56,29,6.41,12.25,10.2,1.32,1,0
132,0,49.16181899,19.83835148,8.149954921,2.551894861,1,1
113,0,41.32421172,22.86531056,9.79917258,2.67639403,2,1
129,32,35.87,13.18,10.57,3.08,1,0
121,0,16.91616444,10.86330588,9.509771371,2.435222948,5,1
124,0,26.78,11.11,8.7,2.59,3,0
71,0,43.93,10.78,8.21,2.62,4,0
116,0,39.2750824,24.62515697,11.4868367,2.963744119,1,1
76,0,46.36,20.09,10.6,2.08,0,1
149,0,35.24,16.86,5.13,2.32,1,0
149,28,36.18,13.59,10.02,0,1,0
114,0,34.62351108,29.55976652,11.40875181,2.150229065,0,1
101,0,37.45,16.03,12.53,2.86,1,0
67,30,22.03,19.81,13.37,3.92,1,0
42,0,41.56461002,24.18468361,8.500545928,2.830444958,3,1
98,0,15.69,21.26,9.54,2.92,3,0
52,0,43.06300983,17.60703331,8.499899352,2.907733045,0,1
103,35,17.31745477,16.4785516,5.25417795,3.449556263,4,1
148,0,42.45,15.73,10.54,2.84,1,0
70,0,28.93,13.19,10.29,4.05,1,0
93,0,36.87,17.63,9.98,4.73,1,1
88,0,39.96967964,21.42114382,12.82386803,1.931830797,3,1
96,0,16.69,26.11,8.21,2.05,2,0
126,0,32.45,12.72,8.61,3.51,1,0
177,0,42.28,14.65,8.64,3.05,1,1
113,32,30.67,11,7.51,2.27,1,0
147,0,21.15,27.28,7.07,2.81,2,0
78,33,34.21714548,16.45402795,6.606137581,3.05477837,1,1
165,0,26.52,23.47,7.92,2.51,1,0
78,0,30.20440995,15.28619261,8.320743324,4.340399947,2,1
95,0,39.08,17.2,7.71,3.83,1,0
180,33,39.41,19.8,9.31,2.05,1,0
118,0,48.78601014,18.34409124,7.177848783,2.748093771,1,1
43,0,27.12,10.17,7.83,1.84,2,0
67,35,30.79,18.35,9.73,4.56,0,1
143,0,37.96,14.2,9.14,1.22,0,1
64,0,34.46985896,12.64820282,6.61890293,3.712464739,2,1
101,0,39.56,15.84,6.9,3.11,5,0
65,29,26.88,27.39,9.45,2.4,1,0
119,0,43.62519406,17.90454933,10.90467728,2.788240688,5,1
79,0,47.31345625,16.22581667,9.72010536,1.988450998,1,1
43,0,41.7494607,24.81305244,9.662891607,3.30205425,2,1
193,0,30.69,10.02,8.68,2.75,2,0
115,0,23.3626829,17.81525836,7.751951291,2.677991404,6,1
89,0,24.57628007,14.44502332,11.38116163,3.857052038,3,1
127,31,42.25061149,14.45274438,12.02425376,3.96921394,1,1
3,0,23.08452523,19.9748837,11.90518525,2.110337753,2,1
111,0,36.43,17.72,8.21,3.24,1,0
106,0,31.81,21.27,6.52,2.97,1,0
127,22,28.22,14.83,11.02,2.75,1,0
75,0,53.36276386,14.54286709,12.66688884,1.595341285,1,1
54,39,19.99,13.53,10.64,3.05,2,0
74,0,37.59,9.42,10.8,2.86,0,0
107,30,45.93154339,18.92859855,10.43703462,3.232944842,1,1
107,0,26.71,13.82,6.75,3.27,1,0
63,0,31.01524466,14.00459329,7.354456273,2.671603383,3,1
52,0,42.64525384,17.06170923,8.977353747,2.938417947,0,1
171,0,46.03870584,19.53210531,6.129149164,2.591076372,0,1
177,0,39.70966843,11.24885418,6.945917826,3.75099952,1,1
33,0,41.8104022,12.33896546,9.444942551,2.891393694,3,1
98,0,23.10795253,17.26216012,9.092584486,2.53750301,6,1
56,0,33.49,18.94,10.14,2.86,2,0
99,0,29.76297908,17.71208537,11.82403895,3.080091666,0,1
138,0,43.69902207,20.73631713,10.99005762,2.374101979,1,1
116,0,46.68931557,16.86808141,8.947328958,3.711301379,4,1
97,0,37.17752687,25.4027559,9.184755059,3.164962177,0,1
125,0,41.91549672,22.48895619,7.835547086,3.179579164,1,1
126,0,44.47,16.4,11.11,1.97,4,0
71,0,21.05,19.25,9.63,2.38,2,0
89,0,15.82132152,14.24158437,8.442529286,2.300150386,4,1
140,0,42.94760702,20.52717441,10.00126634,2.256624605,0,1
190,0,33.34,19.41,10.96,2.05,3,0
39,0,33.35,26.08,9.07,1.86,0,0
81,0,31.79721893,15.59879998,10.91836171,3.134628662,2,1
67,0,18.55,12.1,4.1,2.94,2,0
88,0,12.85723913,13.47680833,11.11937358,2.332768785,3,1
117,25,36.72,19.05,12.06,3.19,0,0
124,0,42.02,13.76,7.66,1.65,1,0
119,0,22.93,17.98,8.48,3.05,1,0
74,0,24.43,19.52,4.45,3.19,1,0
102,0,34.1,12.96,8.97,2.08,3,0
64,31,38.86,21.12,7.52,2.43,3,0
216,0,35.79113571,21.41892743,9.631089105,2.324848735,1,1
23,0,22.44034846,11.92945642,11.36975722,2.539963047,2,1
194,27,17.37260447,14.34734224,6.694841901,2.14612719,2,1
60,0,48.95965886,21.67132205,10.8100362,3.212810152,1,1
90,28,33.39552213,17.15032999,6.262238935,1.838865916,1,1
109,0,45,25.93,8.88,2.57,1,1
186,0,23.43,15.95,6.59,2.35,1,0
106,0,37.1860788,23.94577948,11.98890998,3.14236717,1,1
74,25,33.08,10.19,7.9,3.54,2,0
117,0,36.45,11.73,6.69,2.67,2,0
21,0,16.41564274,13.87422041,12.63640609,2.819623249,4,1
75,0,26.04,17.92,6.91,2.11,1,0
173,0,26.28,12.52,5.98,1.86,0,0
126,0,38.45,11.93,9.4,1.73,0,0
111,0,31.31,18.28,4.5,3.05,1,0
154,0,16.07,15.15,10.36,2.48,2,0
190,0,28.8,21.55,8.87,2.4,1,0
116,0,27.1,15.26,7.55,2.62,6,1
44,0,40.85,13.99,10.83,2.86,1,0
107,0,32.24834675,17.19199039,7.623347863,2.115870213,4,1
94,0,24.19,19.68,9.25,1.49,1,0
109,0,36.89,17.6,12.06,2.21,1,0
96,45,42.3,11.93,11.86,2.78,3,0
111,0,22.5265734,18.8003751,5.805772502,3.410673833,3,1
110,0,48.97661601,14.4579899,11.37817569,2.95471286,0,1
139,0,32.78,19.92,9.14,3.51,3,0
64,0,33.01,14.74,12.09,1.49,2,0
94,0,44.74593789,21.39446973,8.953987997,2.341108169,1,1
137,0,18.67,19,11.14,4.81,1,0
62,0,27.34747671,17.21250832,5.953741408,3.613756376,0,1
113,0,41.61594263,22.26342362,9.326261414,2.842220024,2,1
85,0,46.3260148,19.00221926,7.139006834,3.397613329,0,1
108,28,37.62,13.26,7.17,2.35,0,0
107,0,15.42,17.64,7.62,1.51,2,0
146,0,25.27855275,15.76894112,6.487204422,2.070776741,6,1
225,0,28.12,23.26,9.45,2.35,0,1
57,0,26.38,18.2,10.85,2.03,1,0
145,34,28.03827481,16.26642328,10.12506622,3.099760919,2,1
130,0,31.11,6.2,8.18,2.57,0,0
115,28,27.57785348,23.71435428,8.669861971,3.162153247,2,1
122,29,33.22,22.8,7.56,2.27,3,0
70,0,29.82,13.56,11.73,3.13,0,0
89,0,24.03778346,13.77032797,12.73343965,3.30455243,3,1
121,0,28.66,14.33,4.29,3.32,1,0
124,0,30.31,19.98,10.79,2.94,3,0
117,0,48.89442437,22.00085193,6.946575697,2.691917758,0,1
102,0,38.2,11,7.54,4.27,1,0
83,36,16.3,22.24,10.29,3.59,0,0
128,0,32.78,11.61,6.83,3.65,1,1
181,16,33.32,9.1,9.27,2.62,1,0
151,0,29.8,12.27,7.21,3.19,0,0
25,0,41.24,17.77,9.89,3.89,2,0
114,0,21.08489794,18.7334127,7.643548783,3.017721082,2,1
108,0,12.55,12.19,7.66,2.94,2,0
102,27,18.67,17.62,10.66,2.78,0,0
132,0,49.17756658,19.82078917,8.799500575,2.341375741,1,1
134,0,34.9,20.44,8.06,1.35,1,0
43,0,43.11,21.53,7.26,2.75,3,1
172,0,35.99,16.89,13.58,1.76,1,0
103,0,33.75,3.61,8.06,3.35,0,0
65,0,47.24,13.24,11.56,2.48,0,1
78,28,41.82,12.54,5.35,1.08,2,0
141,36,31.88,20.52,10.33,2.84,3,0
74,0,29.26,17.99,8.2,3.13,1,0
122,0,50.85837311,17.73683607,6.305721529,3.147162937,3,1
97,0,46.31432643,17.79251951,11.51707895,2.01941381,4,1
